"HUD ID Number","Project Name","Project Address","Project City","Project State","Project ZIP Code","County","Total Number of Units","Total Low-Income Units","Compliance Monitoring Status"
"NYA20080165","PALMER'S DOCK","20 N FIFTH ST","BROOKLYN","NY","11249","Kings County","113","95","Not Indicated"
"NYA20080175","QUINCY 15","15 QUINCY ST","BROOKLYN","NY","11238","Kings County","48","40","Not Indicated"
"NYA20090070","THE ROCKAWAY","730 ROCKAWAY AVE","BROOKLYN","NY","11212","Kings County","64","41","Not Indicated"
"NYA20100080","RHEINGOLD HEIGHTS APTS","87 MELROSE ST","BROOKLYN","NY","11206","Kings County","58","58","Not Indicated"
"NYA20100220","LIBERTY APTS","119 FOUNTAIN AVE","BROOKLYN","NY","11208","Kings County","42","","Not Indicated"
"NYA20100236","THE DOMENECH SENIOR APTS","1505 ST MARKS AVE","BROOKLYN","NY","11233","Kings County","71","","Not Indicated"
"NYA20110055","RHEINGOLD HEIGHTS APTS PHASE II","61 MELROSE ST","BROOKLYN","NY","11206","Kings County","59","58","Not Indicated"
"NYA20110252","THE ROCHESTER AVENUE APTS","1465 PROSPECT PL","BROOKLYN","NY","11213","Kings County","65","","Not Indicated"
"NYA20120249","CONCERN HEIGHTS APTS","805 E NEW YORK AVE","BROOKLYN","NY","11203","Kings County","88","","Not Indicated"
"NYA20120910","DEWITT SUPPORTIVE HOUSING","437 DEWITT AVE","BROOKLYN","NY","11207","Kings County","33","33","Not Indicated"
"NYA20130004","PUTNAM COURT","40 PUTNAM AVE","BROOKLYN","NY","11238","Kings County","59","59","Not Indicated"
"NYA20130286","LORETO PRESERVATION","2356 ATLANTIC AVE","BROOKLYN","NY","11233","Kings County","","","Not Indicated"
"NYA20130290","PARKSIDE COURT","642 ELDERT LN","BROOKLYN","NY","11208","Kings County","","","Not Indicated"
"NYA20132002","BAINBRIDGE MANOR","291 BAINBRIDGE STREET","BROOKLYN","NY","11233","Kings County","23","23","Not Indicated"
"NYA20132003","BELMONT GARDENS","628 ELDERT LANE","BROOKLYN","NY","11208","Kings County","64","64","Not Indicated"
"NYA20140030","KING GARDEN APTS","211 RIVERDALE AVE","BROOKLYN","NY","11212","Kings County","","","Not Indicated"
"NYA20140035","KNICKERBOCKER COMMONS","803 KNICKERBOCKER AVE","BROOKLYN","NY","11207","Kings County","","","Not Indicated"
"NYA20140040","MENNONITE UNITED REVIVAL APTS","424 MELROSE ST","BROOKLYN","NY","11237","Kings County","","","Not Indicated"
"NYA20151019","FROST STREET APARTMENTS","59 FROST STREET","BROOKLYN","NY","11211","Kings County","47","38","Not Indicated"
"NYA20151021","HERKIMER STREET RESIDENCE","437 HERKIMER STREET","BROOKLYN","NY","11213","Kings County","54","20","Not Indicated"
"NYA20152027","STANLEY COMMONS SENIOR HOUSING","890 SCHENCK AVE","BROOKLYN","NY","11207","Kings County","81","80","Not Indicated"
"NYA20161009","BERGEN SARATOGA APARTMENTS","331 SARATOGA AVE","BROOKLYN","NY","11233","Kings County","80","80","Not Indicated"
"NYA20163005","CONCERN BERGEN","1552 BERGEN STREET","BROOKLYN","NY","11213","Kings County","90","90","Not Indicated"
"NYA20170016","THE MEEKERMAN","410 MANHATTAN AVENUE","BROOKLYN","NY","11217","Kings County","50","39","Not Indicated"
"NYA20172018","GENESIS HOMES REFINANCE 2015","330 HINSDALE ST","KINGS","NY","11207","Kings County","150","150","Not Indicated"
"NYA20181005","695 GRAND STREET PROJECT","695 GRAND STREET","BROOKLYN","NY","11211","Kings County","51","42","Not Indicated"
"NYA20181017","COMUNILIFE WOODHULL","179 THROOP AVE","KINGS","NY","11206","Kings County","89","89","Not Indicated"
"NYA20183004","333 LENOX RD","331-333 LENOX RD","BROOKLYN","NY","11226","Kings County","58","58","Not Indicated"
"NYA20200001","OUR LADY OF LOURDES","1875 BROADWAY","BROOKLYN","NY","11207","Kings County","76","65","Not Indicated"
"NYA20200009","FOUNTAIN SEAVIEW (FOUNTAIN AVE A1)","11629 SEAVIEW AVE","BROOKLYN","NY","11239","Kings County","65","65","Not Indicated"
"NYA20201016","FOUNTAIN SEAVIEW B2 (FOUNTAIN AVE B2)","702 VANDALIA AVE","BROOKLYN","NY","11239","Kings County","65","65","Not Indicated"
"NYA20202005","210-214 HEGEMAN AVENUE","212 HEGEMAN AVENUE","BROOKLYN","NY","11212","Kings County","71","71","Not Indicated"
"NYA20212008","ATLANTIC EAST (AKA HARRY T. NANCE) APARTMENTS","1860-1866 EASTERN PKWY","BROOKLYN","NY","11233","Kings County","67","67","Not Indicated"
"NYA20221018","FAC SUNSET PARK LIBRARY","5108 4TH AVE","BROOKLYN","NY","11220","Kings County","50","40","Not Indicated"
"NYA20221034","SCHOLES SENIOR HOUSING 2017","64 SCHOLES STREET","BROOKLYN","NY","11206","Kings County","65","64","Not Indicated"
"NYB00000069","REMEEDER HOUSES APTSNT","SHEFFIELD AVE","BROOKLYN","NY","","Kings County","250","","Not Indicated"
"NYB19960010","SEAVIEW ESTATES","1455 E 108TH ST","BROOKLYN","NY","11236","Kings County","190","38","Not Indicated"
"NYB20000010","420 STOCKHOLM STREET","420 STOCKHOLM ST","BROOKLYN","NY","11237","Kings County","35","35","Not Indicated"
"NYB20050030","SCHAEFER BREWERY APTS","450 KENT AVE","BROOKLYN","NY","11249","Kings County","140","139","Not Indicated"
"NYB20050035","SEA PARK EAST","2970 W 27TH ST","BROOKLYN","NY","11224","Kings County","332","308","Not Indicated"
